ordem,codigo,grupo,pergunta,referencia_esperada,executar
1,P001,PRESENTE,O que é a ferramenta Meu Imóvel Rural e como ela amplia a autonomia dos agricultores?,Meu Imóvel Rural ferramenta para autonomia,SIM
2,P002,PRESENTE,Como a extensão universitária pode contribuir para o desenvolvimento de um destino de cicloturismo?,Extensão universitária para o desenvolvimento de destino de cicloturismo,SIM
3,P003,PRESENTE,Como as redes sociais podem ser usadas como ferramenta de aprendizagem junto aos agricultores familiares?,O uso das redes sociais como ferramenta de aprendizagem junto aos agricultores familiares,SIM
4,P004,PRESENTE,Como foi desenvolvida a experiência de formação em Extensão Rural e Agroecologia?,A experiência de formação em Extensão Rural e Agroecologia,SIM
5,P005,PRESENTE,Quais estratégias podem promover uma digitalização inclusiva na Amazônia Paraense?,Promovendo a digitalização inclusiva na Amazônia Paraense,SIM
6,P006,PRESENTE,Como a ATER pública se posiciona diante da digitalização da agricultura?,Ater pública frente à digitalização na agricultura- construção e perspectivas,SIM
7,P007,PRESENTE,Como as redes sociais podem ampliar a comercialização da agricultura familiar?,O uso de redes sociais pela agricultura familiar para ampliar a comercialização,SIM
8,P008,PRESENTE,Quais são os efeitos da Extensão Rural sobre a produtividade em um sistema pluralista?,Avaliando os efeitos da Extensão Rural na produtividade em um sistema pluralista,SIM
9,P009,PRESENTE,Como a inteligência artificial fortalece a colaboração entre o campo e o laboratório na agricultura?,Inteligência coletiva na Agricultura- como a IA fortalece a colaboração entre campo e laboratório,SIM
10,P010,PRESENTE,Como a linguagem clara pode ser usada como estratégia de extensão rural em Portugal?,"A linguagem clara como estratégia de extensão rural, em Portugal",SIM
11,P011,PRESENTE,Quais são os principais desafios da Extensão Rural contemporânea?,Desafios da Extensão Rural Contemporânea,SIM
12,P012,PRESENTE,Por que o caso de agricultura urbana de Maringá é considerado exitoso?,Agricultura urbana- o caso exitoso de Maringá,SIM
13,P013,PRESENTE,Como o projeto-piloto da Epagri e a ATER+ Digital estão transformando a Extensão Rural?,Transformando a Extensão Rural- Projeto Piloto Epagri e ATER+ Digital,SIM
14,P014,PRESENTE,Como a extensão universitária e a sustentabilidade em rede se articulam no assentamento rural Itamarati?,Extensão universitária e sustentabilidade em rede- a experiência do assentamento rural Itamarati,SIM
15,P015,PRESENTE,Quais caminhos são apresentados para a criação agroecológica de animais?,Construindo caminhos para a criação agroecológica de animais,SIM
16,P016,PRESENTE,O que são os hubs da Plataforma ATER+ Digital desenvolvidos pela Embrapa Meio Ambiente?,Plataforma Ater+ Digital- Hubs desenvolvidos pela Embrapa Meio Ambiente,SIM
17,P017,PRESENTE,Como as mídias digitais são utilizadas na ATER?,Uso das mídias digitais na ATER,SIM
18,P018,PRESENTE,Quais são os desafios e as possibilidades do desenvolvimento rural em tempos de transformação?,Desenvolvimento rural em tempos de transformação- desafios e possibilidades,SIM
19,P019,PRESENTE,O que é o PAS Nordeste e como funcionam as Redes Territoriais de ATER?,PAS Nordeste e as Redes Territoriais de ATER,SIM
